legal_name,city,county,state,vertical,naics_code,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,year_established,entity_status,is_distressed,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,data_sources
Metro Garage Door Repair,Dallas,Dallas,TX,garage_door,238290,https://metrogaragedoor.net,Unknown (family-run),55,20yr_tenure_implies_founder_late_40s_to_50s,20,20,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,47,"Owner age ~55 pre-retirement, longer runway",73,Clean solo-owner 20 yr operation,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Dallas = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=47 L2=73 L3=71 L4=81 | Confidence=low (data_completeness=0.55) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.55,False,https://www.expertise.com/home-improvement/garage-doors/texas/plano | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Nation Overhead Door & Gate,Dallas,Dallas,TX,garage_door,238290,https://nationoverheaddoor.com,Unknown (family-owned),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,Dallas = sun-belt growth metro,51,C_watch,Score 51 (C_watch) | L1=22 L2=45 L3=71 L4=81 | Confidence=low (data_completeness=0.45),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.45,False,https://www.expertise.com/home-improvement/garage-doors/texas/dallas | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
All Pro Garage Doors,Highland Village,Denton,TX,garage_door,238290,https://apgaragedoors.com,,,unknown,14,14,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 14 yr operation,88,5 positive coasting tells (4+ threshold),84,Highland Village = sun-belt exurban / new-construction zone (+5 bonus),59,C_watch,Score 59 (C_watch) | L1=22 L2=73 L3=88 L4=84 | Confidence=low (data_completeness=0.40) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://apgaragedoors.com
AWard Garage Door,Richardson,Dallas,TX,garage_door,238290,https://awardgaragedoor.com,,,tenure_proxy,30,30,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 30 yrs personal tenure,73,Clean solo-owner 30 yr operation,68,3 positive coasting tells (2-3 range),81,Richardson = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=26 L2=73 L3=68 L4=81 | Confidence=low (data_completeness=0.30),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.3,False,https://awardgaragedoor.com | https://www.expertise.com/home-improvement/garage-doors/texas/plano
Matthews Home Supply,Plano,Collin,TX,garage_door,238290,https://matthewshomesupply.com,Parker Matthews,60,tenure_proxy,43,43,1983,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,71,Owner age ~60 approaching retirement; +4 for 43 yrs personal tenure,73,Clean solo-owner 43 yr operation,88,6 positive coasting tells (4+ threshold),81,Plano = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=71 L2=73 L3=88 L4=81 | Confidence=low (data_completeness=0.60) | Low confidence — capped at B | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.6,False,https://matthewshomesupply.com
Texas Garage Door & Opener,Plano,Collin,TX,garage_door,238290,https://www.texasgaragedoorandopener.com,,,unknown,26,26,2000,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 26 yrs personal tenure,73,Clean solo-owner 26 yr operation,88,5 positive coasting tells (4+ threshold); (1 anti-coasting tells reduced score),81,Plano = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=26 L2=73 L3=88 L4=81 | Confidence=low (data_completeness=0.50) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.texasgaragedoorandopener.com/about/
121 Overhead Door,Allen,Collin,TX,garage_door,238290,https://121overheaddoors.com,,,unknown,27,27,1999,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 27 yrs personal tenure,73,Clean solo-owner 27 yr operation,88,5 positive coasting tells (4+ threshold); (1 anti-coasting tells reduced score),84,Allen = sun-belt exurban / new-construction zone (+5 bonus),59,C_watch,Score 59 (C_watch) | L1=26 L2=73 L3=88 L4=84 | Confidence=low (data_completeness=0.50) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://121overheaddoors.com
Apple Garage Door,Allen,Collin,TX,garage_door,238290,https://applegaragedoor.com,,,unknown,25,25,2001,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 25 yrs personal tenure,73,Clean solo-owner 25 yr operation,22,No clear coasting tells,84,Allen = sun-belt exurban / new-construction zone (+5 bonus),15,D_pass,Score 15 (D_pass) | L1=26 L2=73 L3=22 L4=84 | Confidence=medium (data_completeness=0.70) | EXCLUDE — rollup/acquired/lead-gen/franchise front (not independent operator),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.7,False,https://applegaragedoor.com | https://www.anytimegaragedoor.com/about-us
McKinney Garage Doors,McKinney,Collin,TX,garage_door,238290,https://www.mckinneydoors.com,,,unknown,10,10,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 10 yr operation,68,4 positive coasting tells (2-3 range); (1 anti-coasting tells reduced score),78,"Mckinney = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",57,C_watch,Score 57 (C_watch) | L1=22 L2=73 L3=68 L4=78 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.mckinneydoors.com
Blake & Sons Garage Doors,Prosper,Collin,TX,garage_door,238290,https://www.blakeandsonsgaragedoors.com,Blake (family-name brand — surname likely),,name_inference,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,88,5 positive coasting tells (4+ threshold); (1 anti-coasting tells reduced score),78,"Prosper = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",56,C_watch,Score 56 (C_watch) | L1=22 L2=45 L3=88 L4=78 | Confidence=low (data_completeness=0.30),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.3,False,https://www.blakeandsonsgaragedoors.com
Two Brothers Garage Door Repair,Corinth,Denton,TX,garage_door,238290,https://www.twobrothersgds.com,,,unknown,10,10,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 10 yr operation,22,No clear coasting tells; (1 anti-coasting tells reduced score),78,"Corinth = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",43,D_pass,Score 43 (D_pass) | L1=22 L2=73 L3=22 L4=78 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://www.twobrothersgds.com
Tru-Roll Overhead Door,Pilot Point,Denton,TX,garage_door,238290,https://trurolloverheaddoor.com,,,tenure_proxy,26,26,2000,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 26 yrs personal tenure,73,Clean solo-owner 26 yr operation,88,5 positive coasting tells (4+ threshold),78,"Pilot Point = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",59,C_watch,Score 59 (C_watch) | L1=26 L2=73 L3=88 L4=78 | Confidence=low (data_completeness=0.50) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://trurolloverheaddoor.com
Titan Garage Doors,Little Elm,Denton,TX,garage_door,238290,https://garagedoorrepairslittleelm.com,,,unknown,18,18,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 18 yr operation,88,4 positive coasting tells (4+ threshold),78,"Little Elm = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",59,C_watch,Score 59 (C_watch) | L1=22 L2=73 L3=88 L4=78 | Confidence=low (data_completeness=0.40) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://garagedoorrepairslittleelm.com
ProStar Garage Doors,Frisco,Collin,TX,garage_door,238290,https://prostargaragedoors.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,68,4 positive coasting tells (2-3 range); (1 anti-coasting tells reduced score),84,Frisco = sun-belt exurban / new-construction zone (+5 bonus),51,C_watch,Score 51 (C_watch) | L1=22 L2=45 L3=68 L4=84 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://prostargaragedoors.com
Supreme Garage Door And Gate,Carrollton,Dallas,TX,garage_door,238290,https://supremegaragedoortx.com,,,unknown,12,12,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 12 yr operation,22,No clear coasting tells; (1 anti-coasting tells reduced score),78,"Carrollton = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",43,D_pass,Score 43 (D_pass) | L1=22 L2=73 L3=22 L4=78 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://supremegaragedoortx.com
Quality Garage Door Services,Carrollton,Dallas,TX,garage_door,238290,https://www.qualitygd.com,,,tenure_proxy,25,25,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 25 yrs personal tenure,73,Clean solo-owner 25 yr operation,22,No clear coasting tells; (1 anti-coasting tells reduced score),78,"Carrollton = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",44,D_pass,Score 44 (D_pass) | L1=26 L2=73 L3=22 L4=78 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.qualitygd.com
RC Garage Doors,Wylie,Collin,TX,garage_door,238290,https://garagedoorsrockwall.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,68,3 positive coasting tells (2-3 range),78,"Wylie = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",50,C_watch,Score 50 (C_watch) | L1=22 L2=45 L3=68 L4=78 | Confidence=low (data_completeness=0.30),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.3,False,https://garagedoorsrockwall.com
Cabrera's Iron Doors,Plano,Collin,TX,garage_door,238290,https://cabrerasirondoors.com,Cabrera (family-name brand),,name_inference,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,88,6 positive coasting tells (4+ threshold),81,Plano = sun-belt growth metro,56,C_watch,Score 56 (C_watch) | L1=22 L2=45 L3=88 L4=81 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://cabrerasirondoors.com
Champion Garage Door Service,Houston,Harris,TX,garage_door,238290,https://champion-garage-door-service.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells; (1 anti-coasting tells reduced score),81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://champion-garage-door-service.com
S.G Garage Doors,Houston,Harris,TX,garage_door,238290,https://sggaragedoors.net,,,unknown,,,,unknown,True,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,42,1 positive coasting tell,81,Houston = sun-belt growth metro,15,D_pass,Score 15 (D_pass) | L1=22 L2=45 L3=42 L4=81 | Confidence=low (data_completeness=0.60) | Distressed → D_pass cap | EXCLUDE — rollup/acquired/lead-gen/franchise front (not independent operator),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.6,False,https://sggaragedoors.net
Neighborhood Garage Door Repair & Services,Houston,Harris,TX,garage_door,238290,https://neighborhoodgaragedoorhouston.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,15,D_pass,Score 15 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.70) | EXCLUDE — rollup/acquired/lead-gen/franchise front (not independent operator),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.7,False,https://neighborhoodgaragedoorhouston.com | http://neighborhoodgaragedoorservices.com/texas/houston
All Kinds of Doors,Houston,Harris,TX,garage_door,238290,https://allkindsofdoors.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,68,3 positive coasting tells (2-3 range),81,Houston = sun-belt growth metro,50,C_watch,Score 50 (C_watch) | L1=22 L2=45 L3=68 L4=81 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://allkindsofdoors.com
Heights Garage Door Repair,Houston,Harris,TX,garage_door,238290,https://heightsgaragedoorrepairhouston.com,,,unknown,10,10,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 10 yr operation,88,4 positive coasting tells (4+ threshold),81,Houston = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=22 L2=73 L3=88 L4=81 | Confidence=low (data_completeness=0.50) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://heightsgaragedoorrepairhouston.com
Garage Door Family LLC,Houston,Harris,TX,garage_door,238290,https://garagedoorfamily.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,42,2 positive coasting tell; (1 anti-coasting tells reduced score),81,Houston = sun-belt growth metro,43,D_pass,Score 43 (D_pass) | L1=22 L2=45 L3=42 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://garagedoorfamily.com
ProLift Garage Doors,Houston,Harris,TX,garage_door,238290,,,,tenure_proxy,46,46,1980,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 46 yrs personal tenure,73,Clean solo-owner 46 yr operation,22,No clear coasting tells,81,Houston = sun-belt growth metro,15,D_pass,Score 15 (D_pass) | L1=26 L2=73 L3=22 L4=81 | Confidence=low (data_completeness=0.20) | EXCLUDE — rollup/acquired/lead-gen/franchise front (not independent operator),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.2,False,https://www.bestpickreports.com/garage-doors/houston
"Garageworks, LLC",Houston,Harris,TX,garage_door,238290,,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,42,1 positive coasting tell,81,Houston = sun-belt growth metro,43,D_pass,Score 43 (D_pass) | L1=22 L2=45 L3=42 L4=81 | Confidence=low (data_completeness=0.15),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.15,False,https://www.bestpickreports.com/garage-doors/houston
Crown Overhead Doors,Houston,Harris,TX,garage_door,238290,https://crowndoor.net,,,tenure_proxy,35,35,1991,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 35 yrs personal tenure,73,Clean solo-owner 35 yr operation,88,4 positive coasting tells (4+ threshold),81,Houston = sun-belt growth metro,59,C_watch,Score 59 (C_watch) | L1=26 L2=73 L3=88 L4=81 | Confidence=low (data_completeness=0.50) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://crowndoor.net
First Call Garage Doors LLC,Sugar Land,Fort Bend,TX,garage_door,238290,https://firstcallgaragedoors.com,,,unknown,10,10,2016,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 10 yr operation,22,No clear coasting tells; (1 anti-coasting tells reduced score),78,"Sugar Land = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",43,D_pass,Score 43 (D_pass) | L1=22 L2=73 L3=22 L4=78 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://firstcallgaragedoors.com
Alliance Garage Doors,Richmond,Fort Bend,TX,garage_door,238290,https://alliancegaragedoorstx.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,78,"Richmond = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",36,D_pass,Score 36 (D_pass) | L1=22 L2=45 L3=22 L4=78 | Confidence=low (data_completeness=0.10),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.1,False,https://alliancegaragedoorstx.com
Total Access Control LLC,Stafford,Fort Bend,TX,garage_door,238290,https://totalaccesscontroltx.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,78,"Stafford = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",36,D_pass,Score 36 (D_pass) | L1=22 L2=45 L3=22 L4=78 | Confidence=low (data_completeness=0.15),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.15,False,https://totalaccesscontroltx.com
Pearland Garage Doors,Pearland,Brazoria,TX,garage_door,238290,https://pearlandgaragedoors.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,88,4 positive coasting tells (4+ threshold),84,Pearland = sun-belt exurban / new-construction zone (+5 bonus),57,C_watch,Score 57 (C_watch) | L1=22 L2=45 L3=88 L4=84 | Confidence=low (data_completeness=0.40),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.4,False,https://pearlandgaragedoors.com
Magic TX Garage Door,Rosharon,Brazoria,TX,garage_door,238290,https://garagedoorrepairsrosharon.com,,,tenure_proxy,25,25,2001,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 25 yrs personal tenure,73,Clean solo-owner 25 yr operation,88,4 positive coasting tells (4+ threshold),78,"Rosharon = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",59,C_watch,Score 59 (C_watch) | L1=26 L2=73 L3=88 L4=78 | Confidence=low (data_completeness=0.50) | Successor not verified + low data completeness — capped at C,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://garagedoorrepairsrosharon.com
Accent Garage Doors,Manvel,Brazoria,TX,garage_door,238290,https://accentgaragellc.com,,,unknown,21,21,2005,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),73,Clean solo-owner 21 yr operation,22,No clear coasting tells,78,"Manvel = TX market (consolidators VERY active — A1 Garage, Apex, Authority Brands Precision Door)",15,D_pass,Score 15 (D_pass) | L1=22 L2=73 L3=22 L4=78 | Confidence=medium (data_completeness=0.70) | EXCLUDE — rollup/acquired/lead-gen/franchise front (not independent operator),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.7,False,https://accentgaragellc.com | https://www.anytimegaragedoor.com/about-us
The Woodlands Garage Door Service,Conroe,Montgomery,TX,garage_door,238290,https://woodlandsgaragedoor.com,Justin Hodges and Robin Hodges,,spine_directory,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,42,1 positive coasting tell,84,Conroe = sun-belt exurban / new-construction zone (+5 bonus),43,D_pass,Score 43 (D_pass) | L1=22 L2=45 L3=42 L4=84 | Confidence=low (data_completeness=0.30),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.3,False,https://woodlandsgaragedoor.com | https://www.expertise.com/home-improvement/garage-doors/texas/the-woodlands
Perry Garage Doors,Spring,Harris,TX,garage_door,238290,https://perrydoors.com,Perry (family-name brand),,name_inference,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,42,1 positive coasting tell,84,Spring = sun-belt exurban / new-construction zone (+5 bonus),43,D_pass,Score 43 (D_pass) | L1=22 L2=45 L3=42 L4=84 | Confidence=low (data_completeness=0.15),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.15,False,https://perrydoors.com
Discount Garage Door & Opener,Conroe,Montgomery,TX,garage_door,238290,https://discountgaragedoorandopener.com,,,tenure_proxy,25,25,2001,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 25 yrs personal tenure,73,Clean solo-owner 25 yr operation,42,1 positive coasting tell,84,Conroe = sun-belt exurban / new-construction zone (+5 bonus),51,C_watch,Score 51 (C_watch) | L1=26 L2=73 L3=42 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://discountgaragedoorandopener.com
"Bee-Line Overhead Door, LLC",Spring,Montgomery,TX,garage_door,238290,https://beelineoverheaddoor.com,,,unknown,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,88,5 positive coasting tells (4+ threshold),84,Spring = sun-belt exurban / new-construction zone (+5 bonus),57,C_watch,Score 57 (C_watch) | L1=22 L2=45 L3=88 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://beelineoverheaddoor.com | https://www.thebluebook.com/iProView/1496504/
Overhead Door Company of Conroe,Conroe,Montgomery,TX,garage_door,238290,https://ohdconroe.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),37,Tenure unverified — neutral sellability base; -8 brand-affiliation caveat (Overhead Door / Red Ribbon distributor uncertain),22,No clear coasting tells,84,Conroe = sun-belt exurban / new-construction zone (+5 bonus),30,D_pass,Score 30 (D_pass) | L1=22 L2=37 L3=22 L4=84 | Confidence=low (data_completeness=0.50) | PE/consolidator-affiliated risk flag,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/the-woodlands
Cypress Garage & Gates,Cypress,Harris,TX,garage_door,238290,https://cypressgarageandgates.com,,60,tenure_proxy_30yr_founder_typical_55_65,30,30,1996,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,71,Owner age ~60 approaching retirement; +4 for 30 yrs personal tenure,73,Clean solo-owner 30 yr operation,22,No clear coasting tells,84,Cypress = sun-belt exurban / new-construction zone (+5 bonus),59,C_watch,Score 59 (C_watch) | L1=71 L2=73 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/cypress
Alpine Garage Door Repair Cypress Co.,Cypress,Harris,TX,garage_door,238290,https://alpinegaragedoorstx.com,,,,10,10,2016,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),65,Clean solo-owner 10 yr operation; -8 brand-affiliation caveat (Overhead Door / Red Ribbon distributor uncertain),22,No clear coasting tells,84,Cypress = sun-belt exurban / new-construction zone (+5 bonus),42,D_pass,Score 42 (D_pass) | L1=22 L2=65 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/cypress
