"legal_name","dba_name","city","county","zip","address","phone","website","owner_name","owner_age_estimate","owner_age_source","owner_tenure_years","years_in_business","provider_count_estimate","employee_count_estimate","is_distressed","distress_reasons","layer1_base_rate","layer1_comment","layer2_sellability","layer2_comment","layer3_behavioral_trigger","layer3_comment","layer4_market_pull","layer4_comment","final_score","final_tier","final_comment","value_add_thesis","confidence","data_completeness"
"AC Max HVAC Services","AC Max","Montgomery","Montgomery","","","","https://ac-max.net/","","","unknown","","","","","False","[]","30","AC Max HVAC Services: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","55","AC Max HVAC Services: residential service trade; tenure unknown; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","35","AC Max HVAC Services: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","AC Max HVAC Services: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Montgomery County sub-market nudge +0. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"Reliant Air Conditioning","","Irving","Dallas","75038","3250 Story Rd W 106","","https://reliantairconditioning.com/","","","license_tenure_proxy","43","43","","","False","[]","70","Reliant Air Conditioning: business est. 1983 (43y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","78","Reliant Air Conditioning: residential service trade; est. 1983; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","45","Reliant Air Conditioning: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (43y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","87","Reliant Air Conditioning: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Dallas County sub-market nudge +2. SBA 7(a) financeable to $5M.","60","C_watch","Reliant Air Conditioning (Irving, est. 1983 — 43 yrs; 'Gimmick Free Since '83'). Owner has publicly differentiated from PE consolidators ('Standing Out as a Family-Owned HVAC Company... Unaffected by Private Equity Firms' blog post). NATE-certified, A+ BBB. **Live staff page shows only a group photo — no individual leadership names surfaced**; founder name unknown from public sources. Cannot complete successor check from website alone. Per skill non-negotiable §2, confidence capped at LOW + tier at C_watch until successor verification is possible (re-attempt with Playwright or LinkedIn / company-LinkedIn-employees crawl). **High potential** for A promotion in next cycle — owner clearly aware of PE interest, in mid-exit-window, no obvious successor in public materials. Worth manual outreach by Gideon to surface owner name + age.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","low","0.45"
"Brundrett Heat & Air","","Grand Prairie","Dallas","75050","2337 Fort Worth St","972-266-3834","https://www.brundrettheatandair.com/","Russell Brundrett","","license_tenure_proxy","16","16","","","False","[]","40","Brundrett Heat & Air: business est. 2010 (16y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","65","Brundrett Heat & Air: residential service trade; est. 2010; sub_trade=residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","30","Brundrett Heat & Air: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","87","Brundrett Heat & Air: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Dallas County sub-market nudge +2. SBA 7(a) financeable to $5M.","50","C_watch","Brundrett Heat & Air: final 50. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Performance Heat and Air","","Arlington","Tarrant","","","","https://performanceheatandair.com/","","","license_tenure_proxy","16","16","","","False","[]","40","Performance Heat and Air: business est. 2010 (16y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","65","Performance Heat and Air: residential service trade; est. 2010; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","30","Performance Heat and Air: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","86","Performance Heat and Air: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Tarrant County sub-market nudge +1. SBA 7(a) financeable to $5M.","50","C_watch","Performance Heat and Air: final 50. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"TDAC Heating & Air Conditioning, LLC","","Mansfield","Tarrant","","","","https://www.tdacheatair.com/","","","license_tenure_proxy","23","23","","","False","[]","40","TDAC Heating & Air Conditioning, LLC: business est. 2003 (23y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","75","TDAC Heating & Air Conditioning, LLC: residential service trade; est. 2003; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","TDAC Heating & Air Conditioning, LLC: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","86","TDAC Heating & Air Conditioning, LLC: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Tarrant County sub-market nudge +1. SBA 7(a) financeable to $5M.","56","C_watch","TDAC Heating & Air Conditioning, LLC: final 56. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"AirCo Air Conditioning, Heating, and Plumbing","AirCo","Fort Worth","Tarrant","76118","1900 Robotics Pl","","https://www.airco.com/","","","license_tenure_proxy","36","36","","","False","[]","55","AirCo Air Conditioning, Heating, and Plumbing: business est. 1990 (36y); founder likely 55-65. Source: license_tenure_proxy.","50","AirCo Air Conditioning, Heating, and Plumbing: residential service trade; est. 1990; sub_trade=multi_trade_residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment. Multi-trade (HVAC + plumbing or electrical) — stickier customer base.","35","AirCo Air Conditioning, Heating, and Plumbing: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","86","AirCo Air Conditioning, Heating, and Plumbing: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Tarrant County sub-market nudge +1. SBA 7(a) financeable to $5M.","40","D_pass","Size hard gate: AirCo Air Conditioning, Heating, and Plumbing likely $15M+ revenue (multi-metro footprint or 100+ employees) — above SBA 7(a) attractive threshold. Forward-tier-only at best.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.45"
"Quigley Heating & Air","","Dallas","Dallas","","","","https://quigleyac.com/","","","license_tenure_proxy","81","81","","","False","[]","50","Quigley Heating & Air: business est. 1945 (81y); owner likely 65+ based on long tenure proxy. Source: license_tenure_proxy + website self-report. Confidence medium — no OV65 verified.","75","Quigley Heating & Air: residential service trade; est. 1945; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","30","Quigley Heating & Air: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","87","Quigley Heating & Air: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Dallas County sub-market nudge +2. SBA 7(a) financeable to $5M.","56","C_watch","Quigley Heating & Air: final 56. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Texas Pro AC & Heating","","","","","","","https://www.texasprohvac.com/","Trenton Kent","","license_tenure_proxy","56","56","","","False","[]","30","Texas Pro AC & Heating: business est. 1970 (56y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report. | Note: recent succession already occurred — new owner not in exit window.","75","Texas Pro AC & Heating: residential service trade; est. 1970; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","30","Texas Pro AC & Heating: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","83","Texas Pro AC & Heating: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying.  County sub-market nudge -2. SBA 7(a) financeable to $5M.","49","C_watch","Texas Pro AC & Heating: final 49. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Delta Air Conditioning","","Dallas","Dallas","","","","https://deltaairpro.com/","","","license_tenure_proxy","41","41","","","False","[]","70","Delta Air Conditioning: business est. 1985 (41y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Delta Air Conditioning: residential service trade; est. 1985; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Delta Air Conditioning: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (41y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","87","Delta Air Conditioning: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Dallas County sub-market nudge +2. SBA 7(a) financeable to $5M.","69","B_forward","Delta Air Conditioning: final 69 (L1=70/L2=75/L3=55/L4=87). Healthy multi-decade independent HVAC shop in Dallas; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Superior AC & Heat","","Dallas","Dallas","","","","https://superioracnheat.com/","","","license_tenure_proxy","46","46","","","False","[]","70","Superior AC & Heat: business est. 1980 (46y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Superior AC & Heat: residential service trade; est. 1980; sub_trade=residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Superior AC & Heat: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (46y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","87","Superior AC & Heat: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Dallas County sub-market nudge +2. SBA 7(a) financeable to $5M.","69","B_forward","Superior AC & Heat: final 69 (L1=70/L2=75/L3=55/L4=87). Healthy multi-decade independent HVAC shop in Dallas; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Bill Joplin's Air Conditioning & Heating","Bill Joplin's","McKinney","Collin","75069","301 E Midway St","","https://joplins.net/","","","license_tenure_proxy","48","48","","","False","[]","45","Bill Joplin's Air Conditioning & Heating: business est. 1978 (48y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","83","Bill Joplin's Air Conditioning & Heating: residential service trade; est. 1978; sub_trade=residential_commercial_construction. Brand-dealer status present (premium-network membership = quality signal).","30","Bill Joplin's Air Conditioning & Heating: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Bill Joplin's Air Conditioning & Heating: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","56","C_watch","Bill Joplin's Air Conditioning & Heating: final 56. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Kingdom Services","","Allen","Collin","","","(469) 438-7549","https://callthekingdom.com/","","","license_tenure_proxy","46","46","","","False","[]","70","Kingdom Services: business est. 1980 (46y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Kingdom Services: residential service trade; est. 1980; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Kingdom Services: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (46y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Kingdom Services: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","69","B_forward","Kingdom Services: final 69 (L1=70/L2=75/L3=55/L4=85). Healthy multi-decade independent HVAC shop in Collin; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Frisco Heating and Air Conditioning","","Frisco","Collin","","","","https://www.friscoheatingairconditioning.com/","","","license_tenure_proxy","15","15","","","False","[]","40","Frisco Heating and Air Conditioning: business est. 2011 (15y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","65","Frisco Heating and Air Conditioning: residential service trade; est. 2011; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Frisco Heating and Air Conditioning: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Frisco Heating and Air Conditioning: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","53","C_watch","Frisco Heating and Air Conditioning: final 53. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"A/C Works","","McKinney","Collin","","","","https://myacworks.com/","","","license_tenure_proxy","21","21","","","False","[]","40","A/C Works: business est. 2005 (21y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","75","A/C Works: residential service trade; est. 2005; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","A/C Works: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","A/C Works: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","56","C_watch","A/C Works: final 56. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Trotter Air Services, LLC","Trotter Air","Frisco","Collin","","","","https://www.trotterair.com/","Trotter family","","license_tenure_proxy","56","56","","","False","[]","45","Trotter Air Services, LLC: business est. 1970 (56y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Trotter Air Services, LLC: residential service trade; est. 1970; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","30","Trotter Air Services, LLC: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Trotter Air Services, LLC: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","54","C_watch","Trotter Air Services, LLC: final 54. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"Colony Air Conditioning & Heating","Colony AC","The Colony","Denton","","","","https://www.colonyac.com/","","","license_tenure_proxy","50","50","","","False","[]","70","Colony Air Conditioning & Heating: business est. 1976 (50y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Colony Air Conditioning & Heating: residential service trade; est. 1976; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Colony Air Conditioning & Heating: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (50y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Colony Air Conditioning & Heating: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Denton County sub-market nudge +0. SBA 7(a) financeable to $5M.","69","B_forward","Colony Air Conditioning & Heating: final 69 (L1=70/L2=75/L3=55/L4=85). Healthy multi-decade independent HVAC shop in Denton; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Nick's Dun-Rite Heat & AC Services","Nick's Dun-Rite","Plano","Collin","","","","https://nicksair.com/","","","license_tenure_proxy","36","36","","","False","[]","55","Nick's Dun-Rite Heat & AC Services: business est. 1990 (36y); founder likely 55-65. Source: license_tenure_proxy.","75","Nick's Dun-Rite Heat & AC Services: residential service trade; est. 1990; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","45","Nick's Dun-Rite Heat & AC Services: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Nick's Dun-Rite Heat & AC Services: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","62","B_forward","Nick's Dun-Rite Heat & AC Services: final 62 (L1=55/L2=75/L3=45/L4=85). Healthy multi-decade independent HVAC shop in Collin; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Lex Air Conditioning and Heating","LEX Air","Plano","Collin","","","","https://www.lexairconditioning.com/","","","license_tenure_proxy","22","22","","","False","[]","40","Lex Air Conditioning and Heating: business est. 2004 (22y); founder likely 45-58. Source: license_tenure_proxy. Mid-career; off-market thesis is weaker.","75","Lex Air Conditioning and Heating: residential service trade; est. 2004; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Lex Air Conditioning and Heating: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Lex Air Conditioning and Heating: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","56","C_watch","Lex Air Conditioning and Heating: final 56. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"All Service Heating, Air & Plumbing","","McKinney","Collin","","","","https://allserviceheatair.com/","","","unknown","","","","","False","[]","30","All Service Heating, Air & Plumbing: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","60","All Service Heating, Air & Plumbing: residential service trade; tenure unknown; sub_trade=multi_trade_residential. No premium-network dealer status surfaced in spine; verify in enrichment. Multi-trade (HVAC + plumbing or electrical) — stickier customer base.","35","All Service Heating, Air & Plumbing: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","All Service Heating, Air & Plumbing: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"Choice Air Care","","McKinney","Collin","","","","https://www.choiceaircare.com/","","","unknown","","","","","False","[]","30","Choice Air Care: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","55","Choice Air Care: residential service trade; tenure unknown; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","35","Choice Air Care: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Choice Air Care: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"Airview AC","","Plano","Collin","","","","https://www.airviewac.com/","","","unknown","","","","","False","[]","30","Airview AC: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","55","Airview AC: residential service trade; tenure unknown; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","35","Airview AC: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","85","Airview AC: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Collin County sub-market nudge +0. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
"Climate Control Heating & Air","Climate Control","San Antonio","Bexar","","","","https://www.climatecontrol-sa.com/","Scott Burger","","license_tenure_proxy","61","61","","","False","[]","80","Climate Control Heating & Air: business est. 1965 (61y); owner likely 65+ based on long tenure proxy. Source: license_tenure_proxy + website self-report. Confidence medium — no OV65 verified.","83","Climate Control Heating & Air: residential service trade; est. 1965; sub_trade=residential_commercial. Brand-dealer status present (premium-network membership = quality signal).","70","Climate Control Heating & Air: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (61y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","86","Climate Control Heating & Air: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Bexar County sub-market nudge +1. SBA 7(a) financeable to $5M.","78","A_acquire_self","Climate Control Heating & Air (San Antonio, est. 1965 — 61 yrs). Scott Burger, President since January 1988 (38 yrs personal tenure); no co-owners, no named successor on the live About page (fetched 2026-05-16 — https://www.climatecontrol-sa.com/about-us/). Maintenance-plan recurring-revenue base present. Trane Comfort Specialist + Trane Top Ten Dealer Award multi-time winner. NO PE / platform affiliation in footer. SA + Boerne + New Braunfels + Cibolo. Strong off-market A-tier acquisition candidate: long-tenured solo principal in TX hot-vertical metro, no internal succession in pipeline, premium brand network. Deep-dive caveat: OV65 not yet verified (license_tenure_proxy only); Comptroller franchise status not yet confirmed.","Service-agreement modernization (move from QuickBooks/paper to ServiceTitan platform — typical comfort-club enrollment lift +20-30% on conversion); NATE-cert ladder for in-house techs (build internal talent ahead of Scott Burger's eventual exit); financing partnerships (GoodLeap / Synchrony / Greensky activation drives replacement install close-rate +8-15%); customer-portal modernization. Trane dealer relationship is a meaningful asset that platform buyers value. Sale-leaseback of yard if owner-occupied. Credible 1.4-1.8× EBITDA path over 18-24 months with no rev growth required.","medium","0.55"
"AllStar Heating & Air Conditioning","","San Antonio","Bexar","","","","http://www.texasallstarhvac.com/","","","unknown","","","","","False","[]","30","AllStar Heating & Air Conditioning: year established unverified from spine source. L1 capped at proxy-only score; needs CAD OV65 or website 'serving since' verification before promotion.","55","AllStar Heating & Air Conditioning: residential service trade; tenure unknown; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","35","AllStar Heating & Air Conditioning: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","86","AllStar Heating & Air Conditioning: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Bexar County sub-market nudge +1. SBA 7(a) financeable to $5M.","35","D_pass","Hard gate: less than 5 years in business or year unverified. Cap at C_watch max; default D_pass for unverified entry.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.3"
